COD_COMUNA_JOIN,COD_COMUNA_RESID,COMUNA_RESIDENCIA,VACUNA_DASHBOARD,CLAVE_DENOMINADOR,VACUNAS_ADMINISTRADAS,POBLACION_OBJETIVO,PORC_COBERTURA
13123,13132,Vitacura,VACUNA VPH 4 BASICO,VPH_4basico,3,1833.0,0.2
13123,13201,Puente Alto,VACUNA VPH 4 BASICO,VPH_4basico,2,1833.0,0.1
13123,13301,Colina,VACUNA VPH 4 BASICO,VPH_4basico,2,1833.0,0.1
13123,13302,Lampa,VACUNA VPH 4 BASICO,VPH_4basico,5,1833.0,0.3
13123,13401,San Bernardo,VACUNA VPH 4 BASICO,VPH_4basico,2,1833.0,0.1
13123,13402,Buin,VACUNA VPH 4 BASICO,VPH_4basico,6,1833.0,0.3
13123,13404,Paine,VACUNA VPH 4 BASICO,VPH_4basico,1,1833.0,0.1
13123,13501,Melipilla,VACUNA VPH 4 BASICO,VPH_4basico,2,1833.0,0.1
13123,13502,Alhué,VACUNA VPH 4 BASICO,VPH_4basico,1,1833.0,0.1
13123,13503,Curacavi,VACUNA VPH 4 BASICO,VPH_4basico,1,1833.0,0.1
13123,13601,Talagante,VACUNA VPH 4 BASICO,VPH_4basico,1,1833.0,0.1
13123,13101,Santiago,VACUNA VPH 5 BASICO,VPH_5basico,7,1810.0,0.4
13123,13102,Cerrillos,VACUNA VPH 5 BASICO,VPH_5basico,1,1810.0,0.1
13123,13106,Estación Central,VACUNA VPH 5 BASICO,VPH_5basico,2,1810.0,0.1
13123,13108,Independencia,VACUNA VPH 5 BASICO,VPH_5basico,2,1810.0,0.1
13123,13110,La Florida,VACUNA VPH 5 BASICO,VPH_5basico,1,1810.0,0.1
13123,13113,La Reina,VACUNA VPH 5 BASICO,VPH_5basico,2,1810.0,0.1
13123,13114,Las Condes,VACUNA VPH 5 BASICO,VPH_5basico,5,1810.0,0.3
13123,13120,Ñuñoa,VACUNA VPH 5 BASICO,VPH_5basico,11,1810.0,0.6
13123,13121,Pedro Aguirre Cerda,VACUNA VPH 5 BASICO,VPH_5basico,1,1810.0,0.1
13123,13122,Peñalolén,VACUNA VPH 5 BASICO,VPH_5basico,1,1810.0,0.1
13123,13123,Providencia,VACUNA VPH 5 BASICO,VPH_5basico,1332,1810.0,73.6
13123,13124,Pudahuel,VACUNA VPH 5 BASICO,VPH_5basico,3,1810.0,0.2
13123,13125,Quilicura,VACUNA VPH 5 BASICO,VPH_5basico,1,1810.0,0.1
13123,13126,Quinta Normal,VACUNA VPH 5 BASICO,VPH_5basico,1,1810.0,0.1
13123,13127,Recoleta,VACUNA VPH 5 BASICO,VPH_5basico,3,1810.0,0.2
13123,13201,Puente Alto,VACUNA VPH 5 BASICO,VPH_5basico,2,1810.0,0.1
13123,13301,Colina,VACUNA VPH 5 BASICO,VPH_5basico,5,1810.0,0.3
13123,13302,Lampa,VACUNA VPH 5 BASICO,VPH_5basico,2,1810.0,0.1
13123,13401,San Bernardo,VACUNA VPH 5 BASICO,VPH_5basico,4,1810.0,0.2
13123,13402,Buin,VACUNA VPH 5 BASICO,VPH_5basico,1,1810.0,0.1
