COD_COMUNA_JOIN,VACUNA_DASHBOARD,CLAVE_DENOMINADOR,VACUNAS_ADMINISTRADAS
13107,VACUNA MENINGOCOCICA RECOMBINANTE 1RA DOSIS,Cohorte_2M,837
13107,VACUNA MENINGOCOCICA RECOMBINANTE 2DA DOSIS,Cohorte_4M,815
13107,VACUNA MENINGOCOCICA RECOMBINANTE REFUERZO,Cohorte_18M,195
13107,VACUNA NEUMOCOCICA CONJUGADA 1RA DOSIS,Cohorte_2M,833
13107,VACUNA NEUMOCOCICA CONJUGADA 2DA DOSIS,Cohorte_4M,814
13107,VACUNA NEUMOCOCICA CONJUGADA REFUERZO,Cohorte_12M,857
13107,VACUNA NEUMOCOCICA POLISACARIDA,Neumococica_Polisacarida_65,480
13107,VACUNA SRP (TRIVIRICA) 1RA DOSIS,Cohorte_12M,854
13107,VACUNA SRP (TRIVIRICA) 2DA DOSIS,Cohorte_36M,744
13107,VACUNA VARICELA 1RA DOSIS,Cohorte_18M,907
13107,VACUNA VARICELA 2DA DOSIS,Cohorte_36M,779
13107,VACUNA VPH 4 BASICO,VPH_4basico,1063
13107,VACUNA VPH 5 BASICO,VPH_5basico,915
13108,VACUNA BCG,BCG_RN,1127
13108,VACUNA DTPA 1 BASICO,dTpa_1basico,1256
13108,VACUNA DTPA 8 BASICO,dTpa_8basico,1280
13108,VACUNA DTPA GESTANTES,dTpa_Gestantes,987
13108,VACUNA HEPATITIS A PEDIATRICA,Cohorte_18M,1166
13108,VACUNA HEPATITIS B RN,HepB_RN,1129
13108,VACUNA HEXAVALENTE 1RA DOSIS,Cohorte_2M,1087
13108,VACUNA HEXAVALENTE 2DA DOSIS,Cohorte_4M,1049
13108,VACUNA HEXAVALENTE 3RA DOSIS,Hexavalente_3d_6m,1072
13108,VACUNA HEXAVALENTE REFUERZO,Hexavalente_ref_18m,1155
13108,VACUNA MENINGOCOCICA CONJUGADA DOSIS UNICA,Cohorte_12M,1151
13108,VACUNA MENINGOCOCICA RECOMBINANTE 1RA DOSIS,Cohorte_2M,1134
13108,VACUNA MENINGOCOCICA RECOMBINANTE 2DA DOSIS,Cohorte_4M,1089
13108,VACUNA MENINGOCOCICA RECOMBINANTE REFUERZO,Cohorte_18M,173
13108,VACUNA NEUMOCOCICA CONJUGADA 1RA DOSIS,Cohorte_2M,1097
13108,VACUNA NEUMOCOCICA CONJUGADA 2DA DOSIS,Cohorte_4M,1050
13108,VACUNA NEUMOCOCICA CONJUGADA REFUERZO,Cohorte_12M,1114
13108,VACUNA NEUMOCOCICA POLISACARIDA,Neumococica_Polisacarida_65,838
13108,VACUNA SRP (TRIVIRICA) 1RA DOSIS,Cohorte_12M,1115
13108,VACUNA SRP (TRIVIRICA) 2DA DOSIS,Cohorte_36M,928
13108,VACUNA VARICELA 1RA DOSIS,Cohorte_18M,1181
13108,VACUNA VARICELA 2DA DOSIS,Cohorte_36M,1000
13108,VACUNA VPH 4 BASICO,VPH_4basico,1260
13108,VACUNA VPH 5 BASICO,VPH_5basico,1138
13109,VACUNA BCG,BCG_RN,793
13109,VACUNA DTPA 1 BASICO,dTpa_1basico,1375
13109,VACUNA DTPA 8 BASICO,dTpa_8basico,1750
13109,VACUNA DTPA GESTANTES,dTpa_Gestantes,698
13109,VACUNA HEPATITIS A PEDIATRICA,Cohorte_18M,782
13109,VACUNA HEPATITIS B RN,HepB_RN,792
13109,VACUNA HEXAVALENTE 1RA DOSIS,Cohorte_2M,764
13109,VACUNA HEXAVALENTE 2DA DOSIS,Cohorte_4M,798
13109,VACUNA HEXAVALENTE 3RA DOSIS,Hexavalente_3d_6m,769
13109,VACUNA HEXAVALENTE REFUERZO,Hexavalente_ref_18m,788
13109,VACUNA MENINGOCOCICA CONJUGADA DOSIS UNICA,Cohorte_12M,833
13109,VACUNA MENINGOCOCICA RECOMBINANTE 1RA DOSIS,Cohorte_2M,765
13109,VACUNA MENINGOCOCICA RECOMBINANTE 2DA DOSIS,Cohorte_4M,798
13109,VACUNA MENINGOCOCICA RECOMBINANTE REFUERZO,Cohorte_18M,128
13109,VACUNA NEUMOCOCICA CONJUGADA 1RA DOSIS,Cohorte_2M,768
13109,VACUNA NEUMOCOCICA CONJUGADA 2DA DOSIS,Cohorte_4M,798
13109,VACUNA NEUMOCOCICA CONJUGADA REFUERZO,Cohorte_12M,821
13109,VACUNA NEUMOCOCICA POLISACARIDA,Neumococica_Polisacarida_65,836
13109,VACUNA SRP (TRIVIRICA) 1RA DOSIS,Cohorte_12M,830
13109,VACUNA SRP (TRIVIRICA) 2DA DOSIS,Cohorte_36M,723
13109,VACUNA VARICELA 1RA DOSIS,Cohorte_18M,800
13109,VACUNA VARICELA 2DA DOSIS,Cohorte_36M,733
13109,VACUNA VPH 4 BASICO,VPH_4basico,1500
13109,VACUNA VPH 5 BASICO,VPH_5basico,1377
13110,VACUNA BCG,BCG_RN,3163
13110,VACUNA DTPA 1 BASICO,dTpa_1basico,4248
13110,VACUNA DTPA 8 BASICO,dTpa_8basico,4755
13110,VACUNA DTPA GESTANTES,dTpa_Gestantes,2935
13110,VACUNA HEPATITIS A PEDIATRICA,Cohorte_18M,3409
13110,VACUNA HEPATITIS B RN,HepB_RN,3146
13110,VACUNA HEXAVALENTE 1RA DOSIS,Cohorte_2M,3425
13110,VACUNA HEXAVALENTE 2DA DOSIS,Cohorte_4M,3545
13110,VACUNA HEXAVALENTE 3RA DOSIS,Hexavalente_3d_6m,3505
13110,VACUNA HEXAVALENTE REFUERZO,Hexavalente_ref_18m,3424
13110,VACUNA MENINGOCOCICA CONJUGADA DOSIS UNICA,Cohorte_12M,3503
13110,VACUNA MENINGOCOCICA RECOMBINANTE 1RA DOSIS,Cohorte_2M,3435
13110,VACUNA MENINGOCOCICA RECOMBINANTE 2DA DOSIS,Cohorte_4M,3539
13110,VACUNA MENINGOCOCICA RECOMBINANTE REFUERZO,Cohorte_18M,569
13110,VACUNA NEUMOCOCICA CONJUGADA 1RA DOSIS,Cohorte_2M,3428
13110,VACUNA NEUMOCOCICA CONJUGADA 2DA DOSIS,Cohorte_4M,3543
13110,VACUNA NEUMOCOCICA CONJUGADA REFUERZO,Cohorte_12M,3512
13110,VACUNA NEUMOCOCICA POLISACARIDA,Neumococica_Polisacarida_65,2975
13110,VACUNA SRP (TRIVIRICA) 1RA DOSIS,Cohorte_12M,3542
