COD_COMUNA_RESID,COMUNA_RESIDENCIA,VACUNA_DASHBOARD,CLAVE_DENOMINADOR,VACUNAS_ADMINISTRADAS
13123,Providencia,VACUNA HEXAVALENTE 3RA DOSIS,Hexavalente_3d_6m,1288
13123,Providencia,VACUNA MENINGOCOCICA DOSIS UNICA,Trivirica_1d_Neumo_Meningo_12m,1243
13123,Providencia,VACUNA NEUMOCOCICA CONJUGADA REFUERZO,Trivirica_1d_Neumo_Meningo_12m,1222
13123,Providencia,VACUNA NEUMOCOCICA POLISACARIDA 23V ADULTOS,NEUMO_23V_65,1952
13123,Providencia,VACUNA SRP (TRIVIRICA) 1RA DOSIS,Trivirica_1d_Neumo_Meningo_12m,1235
13123,Providencia,VACUNA SRP (TRIVIRICA) 2DA DOSIS,Trivirica_2d_Varicela_2d_36m,1055
13123,Providencia,VACUNA VARICELA 1RA DOSIS,Varicela_1d_HepA_18m,1427
13123,Providencia,VACUNA VARICELA 2DA DOSIS,Trivirica_2d_Varicela_2d_36m,1205
13124,Pudahuel,VACUNA BCG,BCG_HepB_RN,1672
13124,Pudahuel,VACUNA HEPATITIS A PEDIATRICA,Varicela_1d_HepA_18m,2094
13124,Pudahuel,VACUNA HEPATITIS B RN,BCG_HepB_RN,1530
13124,Pudahuel,VACUNA HEXAVALENTE 3RA DOSIS,Hexavalente_3d_6m,1886
13124,Pudahuel,VACUNA MENINGOCOCICA DOSIS UNICA,Trivirica_1d_Neumo_Meningo_12m,1961
13124,Pudahuel,VACUNA NEUMOCOCICA CONJUGADA REFUERZO,Trivirica_1d_Neumo_Meningo_12m,1910
13124,Pudahuel,VACUNA NEUMOCOCICA POLISACARIDA 23V ADULTOS,NEUMO_23V_65,2870
13124,Pudahuel,VACUNA SRP (TRIVIRICA) 1RA DOSIS,Trivirica_1d_Neumo_Meningo_12m,1934
13124,Pudahuel,VACUNA SRP (TRIVIRICA) 2DA DOSIS,Trivirica_2d_Varicela_2d_36m,1917
13124,Pudahuel,VACUNA VARICELA 1RA DOSIS,Varicela_1d_HepA_18m,2188
